Datos,Fuente,Período
Registro no oficial de feminicidios ,Feminicidios Uruguay,2001-2019
Homicidios domésticos a mujeres,Ministerio del Interior,2013-2018
Denuncias de Violencia Doméstica ,Ministerio del Interior,2013-2018
Encuesta Continua de Hogares,Instituto Nacional de Estadística,2006-2019
Censo Poblacional,Instituto Nacional de Estadística,2011
Proyecciones de Población,Instituto Nacional de Estadística,2001-2019
Geometrías departamentos,Instituto Nacional de Estadística,
Geometrías segmentos censales ,Instituto Nacional de Estadística,
Geometrías CCZ (Montevideo),Instituto Nacional de Estadística,
Geometrías barrios (Montevideo),Instituto Nacional de Estadística,
